Let's begin networking!
 The cnn model with 2 layers is estabished.
It is about the leave-one-out validation method!

Path Mark: content.json




******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1800
increased epoches:  40
minibatch size: 128
iterations per epoch: 13
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 100.0%, 精度： 100.0%, 得分： 91.17, 准确度： 90.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：96.11%, 特异度： 67.11%, 精度： 77.58%, 得分： 81.61, 准确度： 82.83%, 用时: 1.72s.
*[测试结果] 片段识别 test 敏感度：97.06%, 特异度： 80.77%, 精度： 86.84%, 得分： 88.91, 准确度： 90.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：83.3%, 特异度： 88.83%, 精度： 89.83%, 得分： 86.06, 准确度： 85.83%, 用时: 1.73s.
*[测试结果] 片段识别 test 敏感度：85.29%, 特异度： 100.0%, 精度： 100.0%, 得分： 92.65, 准确度： 91.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：91.91%, 特异度： 80.1%, 精度： 84.54%, 得分： 86.0, 准确度： 86.5%, 用时: 1.51s.
*[测试结果] 片段识别 test 敏感度：94.12%, 特异度： 88.46%, 精度： 91.43%, 得分： 91.29, 准确度： 91.67%, 用时: 0.08s.
*[测试结果] 片段识别 train 敏感度：82.38%, 特异度： 89.68%, 精度： 90.44%, 得分： 86.03, 准确度： 85.72%, 用时: 2.45s.
*[测试结果] 片段识别 test 敏感度：85.29%, 特异度： 100.0%, 精度： 100.0%, 得分： 92.65, 准确度： 91.67%, 用时: 0.09s.
*[测试结果] 片段识别 train 敏感度：77.56%, 特异度： 92.6%, 精度： 92.54%, 得分： 85.08, 准确度： 84.44%, 用时: 2.21s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 100.0%, 精度： 100.0%, 得分： 91.17, 准确度： 90.0%, 用时: 0.09s.
*[测试结果] 片段识别 train 敏感度：92.93%, 特异度： 79.85%, 精度： 84.53%, 得分： 86.39, 准确度： 86.94%, 用时: 2.32s.
*[测试结果] 片段识别 test 敏感度：91.18%, 特异度： 88.46%, 精度： 91.18%, 得分： 89.82, 准确度： 90.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：93.55%, 特异度： 77.55%, 精度： 83.15%, 得分： 85.55, 准确度： 86.22%, 用时: 1.77s.
*[测试结果] 片段识别 test 敏感度：94.12%, 特异度： 88.46%, 精度： 91.43%, 得分： 91.29, 准确度： 91.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：82.79%, 特异度： 90.05%, 精度： 90.79%, 得分： 86.42, 准确度： 86.11%, 用时: 1.71s.
*[测试结果] 片段识别 test 敏感度：85.29%, 特异度： 100.0%, 精度： 100.0%, 得分： 92.65, 准确度： 91.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：94.77%, 特异度： 75.12%, 精度： 81.86%, 得分： 84.94, 准确度： 85.78%, 用时: 1.77s.
*[测试结果] 片段识别 test 敏感度：97.06%, 特异度： 88.46%, 精度： 91.67%, 得分： 92.76, 准确度： 93.33%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：88.93%, 特异度： 86.04%, 精度： 88.3%, 得分： 87.49, 准确度： 87.61%, 用时: 1.75s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 96.15%, 精度： 96.77%, 得分： 92.19, 准确度： 91.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：77.97%, 特异度： 93.45%, 精度： 93.37%, 得分： 85.71, 准确度： 85.06%, 用时: 1.56s.
*[测试结果] 片段识别 test 敏感度：79.41%, 特异度： 100.0%, 精度： 100.0%, 得分： 89.7, 准确度： 88.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：78.79%, 特异度： 93.45%, 精度： 93.44%, 得分： 86.12, 准确度： 85.5%, 用时: 1.78s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 100.0%, 精度： 100.0%, 得分： 91.17, 准确度： 90.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：71.82%, 特异度： 95.27%, 精度： 94.73%, 得分： 83.54, 准确度： 82.56%, 用时: 1.76s.
*[测试结果] 片段识别 test 敏感度：67.65%, 特异度： 100.0%, 精度： 100.0%, 得分： 83.83, 准确度： 81.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：97.44%, 特异度： 65.05%, 精度： 76.76%, 得分： 81.25, 准确度： 82.61%, 用时: 1.74s.
*[测试结果] 片段识别 test 敏感度：97.06%, 特异度： 80.77%, 精度： 86.84%, 得分： 88.91, 准确度： 90.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：77.77%, 特异度： 93.81%, 精度： 93.7%, 得分： 85.79, 准确度： 85.11%, 用时: 1.56s.
*[测试结果] 片段识别 test 敏感度：79.41%, 特异度： 100.0%, 精度： 100.0%, 得分： 89.7, 准确度： 88.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：93.75%, 特异度： 79.37%, 精度： 84.33%, 得分： 86.56, 准确度： 87.17%, 用时: 1.74s.
*[测试结果] 片段识别 test 敏感度：91.18%, 特异度： 88.46%, 精度： 91.18%, 得分： 89.82, 准确度： 90.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：89.75%, 特异度： 85.8%, 精度： 88.22%, 得分： 87.78, 准确度： 87.94%, 用时: 1.66s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 92.31%, 精度： 93.75%, 得分： 90.28, 准确度： 90.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：90.78%, 特异度： 85.32%, 精度： 87.98%, 得分： 88.05, 准确度： 88.28%, 用时: 1.78s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 92.31%, 精度： 93.75%, 得分： 90.28, 准确度： 90.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：93.85%, 特异度： 79.49%, 精度： 84.42%, 得分： 86.67, 准确度： 87.28%, 用时: 1.79s.
*[测试结果] 片段识别 test 敏感度：94.12%, 特异度： 88.46%, 精度： 91.43%, 得分： 91.29, 准确度： 91.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：84.63%, 特异度： 89.93%, 精度： 90.87%, 得分： 87.28, 准确度： 87.06%, 用时: 1.68s.
