Let's begin networking!
 The cnn model with 2 layers are estabished.
It is about the leave-one-out validation method!



******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 64
iterations per epoch: 18
*[测试结果] 片段识别 test 敏感度：40.0%, 特异度： 96.0%, 得分： 68.0, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：73.48%, 特异度： 80.13%, 得分： 76.81, 准确度： 76.83%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：42.86%, 特异度： 92.0%, 得分： 67.43, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：69.65%, 特异度： 84.38%, 得分： 77.02, 准确度： 77.06%, 用时: 1.01s.
*[测试结果] 片段识别 test 敏感度：34.29%, 特异度： 96.0%, 得分： 65.14, 准确度： 60.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：84.82%, 特异度： 68.14%, 得分： 76.48, 准确度： 76.43%, 用时: 1.1s.
*[测试结果] 片段识别 test 敏感度：54.29%, 特异度： 84.0%, 得分： 69.14, 准确度： 66.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：85.14%, 特异度： 67.82%, 得分： 76.48, 准确度： 76.43%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：60.0%, 特异度： 84.0%, 得分： 72.0, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：79.71%, 特异度： 75.08%, 得分： 77.39, 准确度： 77.38%, 用时: 1.29s.
*[测试结果] 片段识别 test 敏感度：48.57%, 特异度： 88.0%, 得分： 68.28, 准确度： 65.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：63.74%, 特异度： 90.38%, 得分： 77.06, 准确度： 77.14%, 用时: 1.32s.
*[测试结果] 片段识别 test 敏感度：25.71%, 特异度： 96.0%, 得分： 60.86, 准确度： 55.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：67.41%, 特异度： 87.38%, 得分： 77.39, 准确度： 77.46%, 用时: 1.21s.
*[测试结果] 片段识别 test 敏感度：25.71%, 特异度： 96.0%, 得分： 60.86, 准确度： 55.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：87.22%, 特异度： 64.67%, 得分： 75.94, 准确度： 75.87%, 用时: 1.14s.
*[测试结果] 片段识别 test 敏感度：60.0%, 特异度： 84.0%, 得分： 72.0, 准确度： 70.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：69.65%, 特异度： 86.28%, 得分： 77.97, 准确度： 78.02%, 用时: 1.21s.
*[测试结果] 片段识别 test 敏感度：28.57%, 特异度： 96.0%, 得分： 62.28, 准确度： 56.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：71.09%, 特异度： 85.02%, 得分： 78.06, 准确度： 78.1%, 用时: 1.15s.
*[测试结果] 片段识别 test 敏感度：37.14%, 特异度： 92.0%, 得分： 64.57, 准确度： 60.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：81.63%, 特异度： 75.24%, 得分： 78.44, 准确度： 78.41%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：45.71%, 特异度： 88.0%, 得分： 66.86, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：75.4%, 特异度： 80.91%, 得分： 78.16, 准确度： 78.17%, 用时: 1.14s.
*[测试结果] 片段识别 test 敏感度：45.71%, 特异度： 88.0%, 得分： 66.86, 准确度： 63.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：79.07%, 特异度： 77.76%, 得分： 78.41, 准确度： 78.41%, 用时: 1.17s.
*[测试结果] 片段识别 test 敏感度：48.57%, 特异度： 88.0%, 得分： 68.28, 准确度： 65.0%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：60.86%, 特异度： 91.8%, 得分： 76.33, 准确度： 76.43%, 用时: 1.2s.
*[测试结果] 片段识别 test 敏感度：14.29%, 特异度： 96.0%, 得分： 55.14, 准确度： 48.33%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：82.11%, 特异度： 74.45%, 得分： 78.28, 准确度： 78.25%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：45.71%, 特异度： 88.0%, 得分： 66.86, 准确度： 63.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：86.26%, 特异度： 69.09%, 得分： 77.68, 准确度： 77.62%, 用时: 1.25s.
*[测试结果] 片段识别 test 敏感度：51.43%, 特异度： 84.0%, 得分： 67.72, 准确度： 65.0%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：79.23%, 特异度： 79.34%, 得分： 79.28, 准确度： 79.29%, 用时: 1.31s.
*[测试结果] 片段识别 test 敏感度：34.29%, 特异度： 88.0%, 得分： 61.14, 准确度： 56.67%, 用时: 0.06s.
The best metric (without restriction) took place in the epoch:  13
Sensitivity: 65.71; Specificity: 84.0; Score: 74.85; Accuracy: 73.33
Training duration: 4.37s
For the loo method, recheck the test set to have it recorded..
*[测试结果] 片段识别 test 敏感度：65.71%, 特异度： 84.0%, 得分： 74.85, 准确度： 73.33%, 用时: 0.05s.




******************************************************************************************
                                         CNN_2
                                        fold_1
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 64
iterations per epoch: 19
*[测试结果] 片段识别 train 敏感度：5.87%, 特异度： 98.89%, 得分： 52.38, 准确度： 52.38%, 用时: 0.96s.
*[测试结果] 片段识别 test 敏感度：0.0%, 特异度： 100.0%, 得分： 50.0, 准确度： 48.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：18.57%, 特异度： 97.3%, 得分： 57.94, 准确度： 57.94%, 用时: 1.25s.
*[测试结果] 片段识别 test 敏感度：9.68%, 特异度： 100.0%, 得分： 54.84, 准确度： 53.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：46.35%, 特异度： 88.41%, 得分： 67.38, 准确度： 67.38%, 用时: 1.23s.
