Let's begin networking!
 The cnn model with 2 layers are estabished.

It is about the non-cross-peopled 5folds cross validation method!


******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1056
increased epoches:  40
minibatch size: 64
iterations per epoch: 15
*[测试结果] 片段识别 test 敏感度：70.32%, 特异度： 66.06%, 得分： 68.19, 准确度： 68.56%, 用时: 0.2s.
*[测试结果] 片段识别 train 敏感度：90.91%, 特异度： 56.55%, 得分： 73.73, 准确度： 73.01%, 用时: 0.92s.
*[测试结果] 片段识别 test 敏感度：94.19%, 特异度： 38.53%, 得分： 66.36, 准确度： 71.21%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：67.98%, 特异度： 86.73%, 得分： 77.36, 准确度： 77.75%, 用时: 1.05s.
*[测试结果] 片段识别 test 敏感度：64.52%, 特异度： 70.64%, 得分： 67.58, 准确度： 67.05%, 用时: 0.21s.
*[测试结果] 片段识别 train 敏感度：79.05%, 特异度： 78.36%, 得分： 78.7, 准确度： 78.69%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：82.58%, 特异度： 56.88%, 得分： 69.73, 准确度： 71.97%, 用时: 0.28s.
*[测试结果] 片段识别 train 敏感度：71.54%, 特异度： 83.45%, 得分： 77.5, 准确度： 77.75%, 用时: 0.96s.
*[测试结果] 片段识别 test 敏感度：74.19%, 特异度： 64.22%, 得分： 69.2, 准确度： 70.08%, 用时: 0.21s.
*[测试结果] 片段识别 train 敏感度：57.91%, 特异度： 94.0%, 得分： 75.95, 准确度： 76.7%, 用时: 1.01s.
*[测试结果] 片段识别 test 敏感度：47.74%, 特异度： 81.65%, 得分： 64.7, 准确度： 61.74%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：51.98%, 特异度： 95.27%, 得分： 73.62, 准确度： 74.53%, 用时: 1.04s.
*[测试结果] 片段识别 test 敏感度：40.65%, 特异度： 83.49%, 得分： 62.07, 准确度： 58.33%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：84.58%, 特异度： 69.45%, 得分： 77.02, 准确度： 76.7%, 用时: 1.06s.
*[测试结果] 片段识别 test 敏感度：86.45%, 特异度： 46.79%, 得分： 66.62, 准确度： 70.08%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：81.82%, 特异度： 75.27%, 得分： 78.54, 准确度： 78.41%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：83.23%, 特异度： 53.21%, 得分： 68.22, 准确度： 70.83%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：77.47%, 特异度： 78.36%, 得分： 77.91, 准确度： 77.94%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：80.65%, 特异度： 57.8%, 得分： 69.22, 准确度： 71.21%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：69.57%, 特异度： 87.09%, 得分： 78.33, 准确度： 78.69%, 用时: 1.06s.
*[测试结果] 片段识别 test 敏感度：69.68%, 特异度： 71.56%, 得分： 70.62, 准确度： 70.45%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：81.42%, 特异度： 74.36%, 得分： 77.89, 准确度： 77.75%, 用时: 0.85s.
*[测试结果] 片段识别 test 敏感度：83.23%, 特异度： 53.21%, 得分： 68.22, 准确度： 70.83%, 用时: 0.24s.
*[测试结果] 片段识别 train 敏感度：65.02%, 特异度： 90.0%, 得分： 77.51, 准确度： 78.03%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：60.0%, 特异度： 75.23%, 得分： 67.62, 准确度： 66.29%, 用时: 0.23s.
*[测试结果] 片段识别 train 敏感度：66.8%, 特异度： 89.82%, 得分： 78.31, 准确度： 78.79%, 用时: 0.87s.
