Let's begin networking!
 The cnn model with 2 layers is estabished.
It is about the leave-one-out validation method!

Path Mark: content-2nditeration.json




******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 32
iterations per epoch: 36
*[测试结果] 片段识别 test 敏感度：53.12%, 特异度： 89.29%, 得分： 71.2, 准确度： 70.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：77.57%, 特异度： 83.01%, 得分： 80.29, 准确度： 80.24%, 用时: 1.16s.
*[测试结果] 片段识别 test 敏感度：56.25%, 特异度： 89.29%, 得分： 72.77, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：73.99%, 特异度： 87.22%, 得分： 80.6, 准确度： 80.48%, 用时: 1.31s.
*[测试结果] 片段识别 test 敏感度：53.12%, 特异度： 92.86%, 得分： 72.99, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：79.28%, 特异度： 83.33%, 得分： 81.31, 准确度： 81.27%, 用时: 1.18s.
*[测试结果] 片段识别 test 敏感度：53.12%, 特异度： 89.29%, 得分： 71.2, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：83.33%, 特异度： 79.45%, 得分： 81.39, 准确度： 81.43%, 用时: 1.28s.
*[测试结果] 片段识别 test 敏感度：53.12%, 特异度： 89.29%, 得分： 71.2, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：63.86%, 特异度： 92.72%, 得分： 78.29, 准确度： 78.02%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：37.5%, 特异度： 96.43%, 得分： 66.97, 准确度： 65.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：79.91%, 特异度： 83.33%, 得分： 81.62, 准确度： 81.59%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：53.12%, 特异度： 89.29%, 得分： 71.2, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：78.66%, 特异度： 83.33%, 得分： 81.0, 准确度： 80.95%, 用时: 1.2s.
*[测试结果] 片段识别 test 敏感度：68.75%, 特异度： 89.29%, 得分： 79.02, 准确度： 78.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：83.64%, 特异度： 79.29%, 得分： 81.47, 准确度： 81.51%, 用时: 1.24s.
*[测试结果] 片段识别 test 敏感度：56.25%, 特异度： 89.29%, 得分： 72.77, 准确度： 71.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：72.12%, 特异度： 89.48%, 得分： 80.8, 准确度： 80.63%, 用时: 1.02s.
*[测试结果] 片段识别 test 敏感度：43.75%, 特异度： 96.43%, 得分： 70.09, 准确度： 68.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：79.6%, 特异度： 84.95%, 得分： 82.28, 准确度： 82.22%, 用时: 1.09s.
*[测试结果] 片段识别 test 敏感度：50.0%, 特异度： 92.86%, 得分： 71.43, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：72.9%, 特异度： 91.1%, 得分： 82.0, 准确度： 81.83%, 用时: 1.29s.
*[测试结果] 片段识别 test 敏感度：43.75%, 特异度： 92.86%, 得分： 68.31, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：75.08%, 特异度： 89.32%, 得分： 82.2, 准确度： 82.06%, 用时: 1.28s.
*[测试结果] 片段识别 test 敏感度：37.5%, 特异度： 92.86%, 得分： 65.18, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：60.44%, 特异度： 95.47%, 得分： 77.95, 准确度： 77.62%, 用时: 1.15s.
*[测试结果] 片段识别 test 敏感度：21.88%, 特异度： 96.43%, 得分： 59.16, 准确度： 56.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：80.69%, 特异度： 82.36%, 得分： 81.53, 准确度： 81.51%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：59.38%, 特异度： 92.86%, 得分： 76.12, 准确度： 75.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：78.66%, 特异度： 86.89%, 得分： 82.78, 准确度： 82.7%, 用时: 1.13s.
*[测试结果] 片段识别 test 敏感度：50.0%, 特异度： 92.86%, 得分： 71.43, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：80.69%, 特异度： 84.14%, 得分： 82.41, 准确度： 82.38%, 用时: 1.13s.
*[测试结果] 片段识别 test 敏感度：59.38%, 特异度： 92.86%, 得分： 76.12, 准确度： 75.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：82.55%, 特异度： 83.98%, 得分： 83.27, 准确度： 83.25%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：56.25%, 特异度： 92.86%, 得分： 74.56, 准确度： 73.33%, 用时: 0.05s.
The best metric (without restriction) took place in the epoch:  9
Sensitivity: 65.62; Specificity: 92.86; Score: 79.24; Accuracy: 78.33
Training duration: 7.22s


Path Mark: content-2nditeration.json




******************************************************************************************
                                         CNN_2
                                        fold_1
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 32
iterations per epoch: 36
*[测试结果] 片段识别 train 敏感度：99.38%, 特异度： 8.27%, 得分： 53.82, 准确度： 54.76%, 用时: 1.04s.
*[测试结果] 片段识别 test 敏感度：100.0%, 特异度： 24.14%, 得分： 62.07, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：70.92%, 特异度： 78.77%, 得分： 74.84, 准确度： 74.76%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：74.19%, 特异度： 68.97%, 得分： 71.58, 准确度： 71.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：57.54%, 特异度： 87.68%, 得分： 72.61, 准确度： 72.3%, 用时: 1.18s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 86.21%, 得分： 76.97, 准确度： 76.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：54.28%, 特异度： 89.63%, 得分： 71.95, 准确度： 71.59%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：64.52%, 特异度： 86.21%, 得分： 75.36, 准确度： 75.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：69.98%, 特异度： 84.12%, 得分： 77.05, 准确度： 76.9%, 用时: 1.13s.
*[测试结果] 片段识别 test 敏感度：70.97%, 特异度： 75.86%, 得分： 73.41, 准确度： 73.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：44.63%, 特异度： 94.17%, 得分： 69.4, 准确度： 68.89%, 用时: 1.17s.
*[测试结果] 片段识别 test 敏感度：48.39%, 特异度： 96.55%, 得分： 72.47, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：50.39%, 特异度： 93.03%, 得分： 71.71, 准确度： 71.27%, 用时: 1.18s.
*[测试结果] 片段识别 test 敏感度：54.84%, 特异度： 96.55%, 得分： 75.69, 准确度： 75.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：63.45%, 特异度： 90.44%, 得分： 76.94, 准确度： 76.67%, 用时: 1.28s.
*[测试结果] 片段识别 test 敏感度：58.06%, 特异度： 75.86%, 得分： 66.96, 准确度： 66.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：74.65%, 特异度： 82.01%, 得分： 78.33, 准确度： 78.25%, 用时: 1.15s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 72.41%, 得分： 70.07, 准确度： 70.0%, 用时: 0.06s.
